Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Type Ind,PipeCode,GFPipeID,PipeName,GFLocID
N1001,NEXUS/DTE MR04,MI,WASHTENAW,M1,D,INT,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N1001
72778,"LONE STAR GAS - WALLER, TX - DEL (B/D76778)",TX,WALLER,STX,D,INT,TE,120,"Texas Eastern Transmission, LP",1200072778
30027,"NATIONAL GRID-HAVERHILL METER STATION (ESSEX,MA)",MA,ESSEX,,D,END,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110030027
72664,"ITAWAMBA GAS -ITAWAMBA CO., MS",MS,ITAWAMBA,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200072664
75007,"EQUITRANS - MORRIS, PA (DEL 70007/REC 76007)",PA,GREENE,2,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075007
39007,VEAZIE LATERAL MAINLINE,ME,PENOBSCOT,,D,STA,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110039007
01211,AGT TO TETCO FOR PSEG DEL.,NJ,PASSAIC,,D,INT,AGT,100,"Algonquin Gas Transmission, LLC",1000001211
70017,"INDIANA GAS - GREENSBURG, IN",IN,DECATUR,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070017
79041,"T & F EXPLORATION, LP. ACCT. POINT - REC FOR 72533",PA,SOMERSET,2,R,STA,TE,120,"Texas Eastern Transmission, LP",1200079041
N4038,(DTE) ANR-WILLOW RUN -  RECEIPT,MI,WASHTENAW,M1,R,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4038
59323,PRODUCTION TRADING POINT (R),TN,DECATUR,,R,OTH,ETNG,105,"East Tennessee Natural Gas, LLC",1050059323
73199,"DCP MIDSTREAM, LP - BEE CO., TX",TX,BEE,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073199
79730,SOUTHERN INDIANA GAS & ELECTRIC - LDC ALLOCATION P,IN,GIBSON,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200079730
83004,COLUMBIA GULF - DELHI (DEL - 83104),LA,RICHLAND,,R,INT,SESH,116,"Southeast Supply Header, LLC",1160083004
76007,"EQUITRANS - MORRIS, PA - REC (B/D 70007)",PA,GREENE,2,R,INT,TE,120,"Texas Eastern Transmission, LP",1200076007
N6109,BAL NEXUS/NORTH COAST TRANSMISION DEL,OH,LORAIN,M1,D,OTH,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N6109
75055,COLUMBIA GAS - DELMONT (BIDIR 73655/70055),PA,WESTMORELAND,2,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075055
00074,"NATIONAL GRID-WELLESLEY (NORFOLK,MA)",MA,NORFOLK,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000074
79666,M1/M2 24  ILT POINT,IL,WHITE,ZB,B,STA,TE,120,"Texas Eastern Transmission, LP",1200079666
73170,"AK STEEL - WARREN CO., OH",OH,WARREN,2,D,END,TE,120,"Texas Eastern Transmission, LP",1200073170
83102,FGT STA 44 (FGT AIRPORT ROAD) CODEN,AL,MOBILE,,D,INT,SESH,116,"Southeast Supply Header, LLC",1160083102
59129,UCG BOONES CREEK,TN,WASHINGTON,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059129
59198,ROGERSVILLE M&R,TN,HAWKINS,,R,WHD,ETNG,105,"East Tennessee Natural Gas, LLC",1050059198
